# vx_i: 470.00 vx_f:   0.00 stages:123 phase:   0.00 mass:  17.00
#
#
[1]
        1010     0x0010     !
        6865     0x0020     !    1
       18570     0x0010     !    2
       30275     0x0020     !    3
       41985     0x0010     !    4
       53690     0x0020     !    5
       65395     0x0010     !    6
       77105     0x0020     !    7
       88810     0x0010     !    8
      100515     0x0020     !    9
      112225     0x0010     !   10
      123930     0x0020     !   11
      135635     0x0010     !   12
      147345     0x0020     !   13
      159050     0x0010     !   14
      170755     0x0020     !   15
      182465     0x0010     !   16
      194170     0x0020     !   17
      205875     0x0010     !   18
      217585     0x0020     !   19
      229290     0x0010     !   20
      240995     0x0020     !   21
      252705     0x0010     !   22
      264410     0x0020     !   23
      276115     0x0010     !   24
      287825     0x0020     !   25
      299530     0x0010     !   26
      311235     0x0020     !   27
      322945     0x0010     !   28
      334650     0x0020     !   29
      346355     0x0010     !   30
      358065     0x0020     !   31
      369770     0x0010     !   32
      381475     0x0020     !   33
      393185     0x0010     !   34
      404890     0x0020     !   35
      416595     0x0010     !   36
      428305     0x0020     !   37
      440010     0x0010     !   38
      451715     0x0020     !   39
      463425     0x0010     !   40
      475130     0x0020     !   41
      486835     0x0010     !   42
      498545     0x0020     !   43
      510250     0x0010     !   44
      521955     0x0020     !   45
      533665     0x0010     !   46
      545370     0x0020     !   47
      557075     0x0010     !   48
      568785     0x0020     !   49
      580490     0x0010     !   50
      592195     0x0020     !   51
      603905     0x0010     !   52
      615610     0x0020     !   53
      627315     0x0010     !   54
      639025     0x0020     !   55
      650730     0x0010     !   56
      662435     0x0020     !   57
      674145     0x0010     !   58
      685850     0x0020     !   59
      697555     0x0010     !   60
      709265     0x0020     !   61
      720970     0x0010     !   62
      732675     0x0020     !   63
      744385     0x0010     !   64
      756090     0x0020     !   65
      767795     0x0010     !   66
      779505     0x0020     !   67
      791210     0x0010     !   68
      802915     0x0020     !   69
      814625     0x0010     !   70
      826330     0x0020     !   71
      838035     0x0010     !   72
      849745     0x0020     !   73
      861450     0x0010     !   74
      873155     0x0020     !   75
      884865     0x0010     !   76
      896570     0x0020     !   77
      908275     0x0010     !   78
      919985     0x0020     !   79
      931690     0x0010     !   80
      943395     0x0020     !   81
      955105     0x0010     !   82
      966810     0x0020     !   83
      978515     0x0010     !   84
      990225     0x0020     !   85
     1001930     0x0010     !   86
     1013635     0x0020     !   87
     1025345     0x0010     !   88
     1037050     0x0020     !   89
     1048755     0x0010     !   90
     1060465     0x0020     !   91
     1072170     0x0010     !   92
     1083875     0x0020     !   93
     1095585     0x0010     !   94
     1107290     0x0020     !   95
     1118995     0x0010     !   96
     1130705     0x0020     !   97
     1142410     0x0010     !   98
     1154115     0x0020     !   99
     1165825     0x0010     !  100
     1177530     0x0020     !  101
     1189235     0x0010     !  102
     1200945     0x0020     !  103
     1212650     0x0010     !  104
     1224355     0x0020     !  105
     1236065     0x0010     !  106
     1247770     0x0020     !  107
     1259475     0x0010     !  108
     1271185     0x0020     !  109
     1282890     0x0010     !  110
     1294595     0x0020     !  111
     1306305     0x0010     !  112
     1318010     0x0020     !  113
     1329715     0x0010     !  114
     1341425     0x0020     !  115
     1353130     0x0010     !  116
     1364835     0x0020     !  117
     1376545     0x0010     !  118
     1388250     0x0020     !  119
     1399955     0x0010     !  120
     1411665     0x0020     !  121
     1423370     0x0010     !  122
     1435075     0x0000     !  123
     1465430     0x0000     !  124
#
#
# vx_i: 470.00 vx_f: 469.44 stages:123 phase:   0.00 mass:  17.00
