# vx_i: 350.00 vx_f:   0.00 stages:151 phase:  30.50 mass:  17.00
#
#
[1]
        1010     0x0010     !  
       11545     0x0020     !    1
       27325     0x0010     !    2
       43160     0x0020     !    3
       59045     0x0010     !    4
       74985     0x0020     !    5
       90980     0x0010     !    6
      107030     0x0020     !    7
      123135     0x0010     !    8
      139295     0x0020     !    9
      155510     0x0010     !   10
      171785     0x0020     !   11
      188115     0x0010     !   12
      204505     0x0020     !   13
      220950     0x0010     !   14
      237460     0x0020     !   15
      254025     0x0010     !   16
      270655     0x0020     !   17
      287345     0x0010     !   18
      304095     0x0020     !   19
      320910     0x0010     !   20
      337785     0x0020     !   21
      354725     0x0010     !   22
      371735     0x0020     !   23
      388805     0x0010     !   24
      405945     0x0020     !   25
      423150     0x0010     !   26
      440425     0x0020     !   27
      457770     0x0010     !   28
      475180     0x0020     !   29
      492665     0x0010     !   30
      510220     0x0020     !   31
      527845     0x0010     !   32
      545545     0x0020     !   33
      563320     0x0010     !   34
      581170     0x0020     !   35
      599095     0x0010     !   36
      617095     0x0020     !   37
      635175     0x0010     !   38
      653335     0x0020     !   39
      671575     0x0010     !   40
      689895     0x0020     !   41
      708295     0x0010     !   42
      726780     0x0020     !   43
      745350     0x0010     !   44
      764010     0x0020     !   45
      782750     0x0010     !   46
      801580     0x0020     !   47
      820500     0x0010     !   48
      839510     0x0020     !   49
      858615     0x0010     !   50
      877810     0x0020     !   51
      897100     0x0010     !   52
      916485     0x0020     !   53
      935970     0x0010     !   54
      955550     0x0020     !   55
      975235     0x0010     !   56
      995020     0x0020     !   57
     1014910     0x0010     !   58
     1034900     0x0020     !   59
     1055005     0x0010     !   60
     1075215     0x0020     !   61
     1095535     0x0010     !   62
     1115965     0x0020     !   63
     1136510     0x0010     !   64
     1157175     0x0020     !   65
     1177955     0x0010     !   66
     1198855     0x0020     !   67
     1219880     0x0010     !   68
     1241030     0x0020     !   69
     1262305     0x0010     !   70
     1283705     0x0020     !   71
     1305240     0x0010     !   72
     1326910     0x0020     !   73
     1348715     0x0010     !   74
     1370660     0x0020     !   75
     1392745     0x0010     !   76
     1414975     0x0020     !   77
     1437350     0x0010     !   78
     1459880     0x0020     !   79
     1482560     0x0010     !   80
     1505400     0x0020     !   81
     1528395     0x0010     !   82
     1551555     0x0020     !   83
     1574885     0x0010     !   84
     1598380     0x0020     !   85
     1622050     0x0010     !   86
     1645900     0x0020     !   87
     1669935     0x0010     !   88
     1694150     0x0020     !   89
     1718560     0x0010     !   90
     1743165     0x0020     !   91
     1767970     0x0010     !   92
     1792980     0x0020     !   93
     1818200     0x0010     !   94
     1843635     0x0020     !   95
     1869290     0x0010     !   96
     1895175     0x0020     !   97
     1921295     0x0010     !   98
     1947650     0x0020     !   99
     1974255     0x0010     !  100
     2001110     0x0020     !  101
     2028230     0x0010     !  102
     2055615     0x0020     !  103
     2083280     0x0010     !  104
     2111230     0x0020     !  105
     2139475     0x0010     !  106
     2168020     0x0020     !  107
     2196880     0x0010     !  108
     2226070     0x0020     !  109
     2255590     0x0010     !  110
     2285460     0x0020     !  111
     2315690     0x0010     !  112
     2346295     0x0020     !  113
     2377285     0x0010     !  114
     2408680     0x0020     !  115
     2440490     0x0010     !  116
     2472740     0x0020     !  117
     2505445     0x0010     !  118
     2538625     0x0020     !  119
     2572300     0x0010     !  120
     2606495     0x0020     !  121
     2641230     0x0010     !  122
     2676540     0x0020     !  123
     2712445     0x0010     !  124
     2748985     0x0020     !  125
     2786185     0x0010     !  126
     2824095     0x0020     !  127
     2862745     0x0010     !  128
     2902185     0x0020     !  129
     2942470     0x0010     !  130
     2983650     0x0020     !  131
     3025790     0x0010     !  132
     3068960     0x0020     !  133
     3113240     0x0010     !  134
     3158720     0x0020     !  135
     3205505     0x0010     !  136
     3253710     0x0020     !  137
     3303475     0x0010     !  138
     3354965     0x0020     !  139
     3408370     0x0010     !  140
     3463920     0x0020     !  141
     3521895     0x0010     !  142
     3582650     0x0020     !  143
     3646625     0x0010     !  144
     3714390     0x0020     !  145
     3786715     0x0010     !  146
     3864670     0x0020     !  147
     3949820     0x0010     !  148
     4044635     0x0020     !  149
     4153440     0x0000     !  150
     4196375     0x0000     !  151
#
#
# vx_i: 350.00 vx_f:  42.34 stages:150 phase:  30.50 mass:  17.00
